SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1305,4,1,Suburb,1968,169533.25879649157
1444,4,1,Rural,1974,90595.44336075484
1817,5,3,Urban,1998,194068.1135688748
1920,4,2,Rural,2020,231278.2830391948
2572,4,2,Rural,1969,238450.26376933305
2099,3,2,Urban,1955,288978.68189843494
2841,4,3,Urban,2018,304432.3394043962
2530,4,3,Rural,2007,280679.83256554534
2432,3,2,Urban,1961,273193.40647716954
1880,4,3,Urban,2013,201042.97816002287
1590,5,2,Urban,1961,184372.0920111563
1560,4,3,Rural,1996,129201.73910426036
1330,3,1,Rural,2002,147335.39648791155
1701,3,1,Rural,1973,150503.06017137849
1350,4,1,Suburb,1993,217970.793010683
1829,4,2,Urban,1958,187780.8347712514
1256,3,3,Rural,1966,81411.27788606987
2497,2,1,Rural,1966,165941.04975728606
1646,4,2,Rural,1997,98454.14688701494
2517,2,1,Urban,1997,164261.96024594683
1116,5,1,Suburb,2000,178910.26027831383
1653,2,3,Rural,1999,224078.7813138568
1932,2,3,Urban,1977,255143.29555055464
2450,2,3,Rural,1953,277082.81733749434
1787,4,1,Rural,1981,192678.74171734205
2332,5,3,Suburb,2013,290629.3685504778
2363,2,1,Suburb,1952,193843.3376285068
1922,2,2,Urban,1974,221260.29980860185
2292,4,2,Urban,1956,270426.78265298204
2134,3,3,Suburb,1980,357594.92460881843
2246,4,2,Rural,1951,282664.31475366955
1562,5,1,Suburb,1972,272710.0595599901
1454,4,1,Rural,2012,86068.78518893637
2383,2,1,Urban,1987,312963.16035411163
1833,3,1,Rural,1988,304609.4000518572
1420,2,2,Suburb,1992,247112.8099749332
1551,2,2,Urban,1977,82180.9393583717
1064,3,1,Urban,1954,139139.95252343547
1163,3,1,Urban,1992,121817.23479229056
1758,2,3,Rural,1952,174479.81245047675
2855,3,2,Suburb,1992,294536.0624229393
2166,5,1,Rural,2002,338458.60066636524
1373,3,2,Rural,1967,155358.82516424777
2591,2,2,Urban,1999,327305.3098182458
2463,4,2,Suburb,2001,323291.756996843
1572,5,3,Rural,2011,221618.58321806975
1660,3,2,Rural,2003,280994.8572040324
2555,3,2,Urban,1956,306549.0476345401
1591,3,1,Urban,1961,181647.0676669918
1607,4,2,Urban,2021,144421.68605274116
2323,3,3,Suburb,1992,222247.82472893212
1341,2,1,Suburb,1969,73066.48650485171
2005,4,1,Suburb,2005,254562.3748225496
2315,5,3,Rural,2016,259121.72932130191
2517,4,1,Urban,1982,283980.2901147068
2757,4,1,Urban,2009,286469.3746141461
2222,4,2,Rural,2012,303978.289702581
1693,3,1,Suburb,1960,226308.36637448845
2207,4,2,Suburb,1990,253265.71221874031
2142,5,2,Rural,1986,209738.62015017684
1818,5,2,Rural,1961,167977.874034214
1344,5,1,Suburb,1987,168154.32459364148
2546,3,2,Urban,1979,162431.61805758363
1927,3,1,Urban,2012,254584.46819655076
2708,2,3,Rural,2014,265416.45687088586
2144,5,3,Suburb,1952,182912.5006374202
2701,5,3,Suburb,1999,266703.2399779402
2658,4,1,Suburb,1958,395697.5320416831
1118,5,2,Rural,1998,88834.94439182525
1511,3,3,Rural,2016,183880.92770800597
2089,5,2,Rural,1955,182730.0692761368
1141,4,3,Suburb,1958,204510.80445656792
1673,3,3,Urban,2019,128627.69497761718
2680,3,2,Urban,1980,311689.7805697078
1577,5,2,Suburb,1954,188438.21526530472
2214,5,1,Rural,1956,245657.09440452812
2447,5,3,Urban,1969,179825.05450894675
2324,5,3,Suburb,1993,315250.55211017
1277,3,3,Urban,1995,146021.63892355218
1286,2,1,Urban,1985,147232.17917295848
2001,2,2,Rural,1984,173676.6502893572
2206,4,3,Rural,1952,239594.75237571285
2947,4,3,Urban,1963,346195.864005646
1442,5,3,Rural,1980,228388.07627738328
2544,3,3,Suburb,1962,261352.48329801264
2936,3,2,Rural,2011,323195.8389950036
1426,3,2,Suburb,1995,147472.05268579343
1743,2,3,Urban,2016,283859.7278544351
2939,4,2,Suburb,1988,368886.1931411986
1260,2,3,Urban,1966,176032.54348774458
2765,4,3,Suburb,1987,371205.7293904625
1775,2,3,Urban,1991,210686.10499733177
2356,5,2,Rural,1983,324230.3728800963
2441,2,3,Rural,1957,301610.9483327431
2473,2,3,Urban,1956,317974.4979640206
2885,5,3,Rural,1983,416102.8840686256
1448,3,1,Rural,1956,102043.86413336344
2125,4,3,Urban,2005,268933.5345599663
1292,3,1,Urban,1959,149298.6942645072
2049,3,3,Urban,1985,277129.0697124928
2755,4,2,Urban,1999,256200.96470584703
2308,3,3,Rural,1961,290933.1394751814
2031,4,3,Rural,1967,268043.6105879866
2656,5,2,Rural,2012,304907.989669534
2087,3,2,Urban,1974,302681.9589835703
2075,3,2,Rural,1972,168883.57653787924
1155,2,1,Rural,1997,206870.6463820509
2534,2,1,Suburb,1950,272157.25835476455
2398,2,3,Rural,2006,246576.94612960864
2737,5,1,Urban,1951,304457.81961735577
1572,2,1,Suburb,1965,176418.42745864042
1896,5,3,Suburb,1990,181910.95715008205
2445,5,2,Rural,2010,230463.81535562876
1520,3,3,Suburb,1986,172393.05745963086
1738,3,1,Rural,1978,131715.58980713238
2111,2,3,Rural,2016,234132.6184215924
2446,5,1,Urban,1952,307135.9494145281
1538,5,2,Urban,1955,170995.753753191
1885,5,2,Rural,1952,236471.97370843723
1809,2,1,Rural,1986,186045.55179004284
1124,4,3,Rural,1961,88779.02344180724
2482,3,1,Rural,1963,237331.50267830107
1529,5,2,Rural,1952,212829.02482988487
1245,4,3,Rural,1985,201678.26649144728
2753,4,2,Urban,1951,214974.322132966
2208,4,3,Urban,1992,303900.3630660984
1801,4,1,Rural,1963,144200.25472284656
2403,2,3,Rural,2003,301107.2443220598
2466,2,2,Suburb,1986,197320.5742681881
1845,3,3,Urban,1987,179906.56242074436
2674,3,1,Suburb,1974,242963.9630538879
2466,3,1,Rural,1984,345859.8978102023
2980,2,2,Rural,1988,371928.4939716992
2736,5,3,Urban,1976,293743.4671113253
1915,5,2,Urban,1991,225412.26567866263
1017,4,2,Urban,2013,142303.47870563454
2712,5,3,Urban,1989,292349.5827707857
1723,5,3,Suburb,1991,149077.46222435046
2849,5,2,Rural,2009,354740.32233668905
2727,4,2,Urban,1972,260698.1680054149
2903,4,2,Rural,1960,307054.4599444856
1988,5,1,Rural,1994,227437.5469100384
2007,4,1,Rural,1990,285191.77776491136
1355,4,3,Suburb,2000,103165.19212686428
1548,4,2,Rural,1979,124405.22485460498
1613,3,1,Rural,1968,131452.66134097468
2399,5,3,Rural,1979,250050.1016770473
1859,5,3,Rural,1953,246654.1581818587
1975,5,2,Suburb,1965,212620.36056912347
2693,4,3,Rural,1990,311970.9077317749
1057,5,3,Rural,1970,105160.04285973168
1508,2,3,Suburb,2007,111505.5879773547
1350,4,2,Suburb,2015,94260.88552408094
2185,3,1,Urban,2014,217703.5107967794
2209,4,1,Urban,1969,187109.92933131545
1862,4,2,Urban,1965,182342.49726082137
1566,4,1,Rural,2004,249198.040721779
2996,4,1,Rural,2009,357419.79845445545
1957,2,2,Urban,2011,281409.0272169765
2706,2,3,Urban,1959,225807.7137418964
2053,5,3,Urban,1983,270659.8192820799
2012,4,2,Urban,2019,356256.91027704417
1568,2,3,Urban,2002,193028.69863924204
1989,2,3,Urban,2015,253758.67876052985
2884,4,2,Suburb,2012,409026.4147628774
2910,3,2,Urban,1969,326404.5542002182
2341,2,1,Urban,2004,231482.9357020004
2795,2,2,Rural,1965,258677.52911390044
1017,4,1,Rural,1953,79656.68131534196
2297,2,1,Urban,2002,184463.04927397377
1597,4,1,Suburb,2016,166058.81978208787
2561,4,2,Rural,1952,189677.135518776
2815,3,3,Rural,1989,230750.55208939587
1343,3,2,Suburb,2015,145490.79713939232
2212,4,1,Rural,1957,352096.72514941485
1490,2,2,Urban,1966,157433.78521542333
2556,2,2,Urban,1982,311662.7109169381
1331,5,2,Suburb,1972,214876.6484187304
1217,4,1,Urban,1955,73625.37011503984
1394,2,2,Urban,2016,127296.06233669726
1011,5,2,Suburb,1994,145769.99081296814
2810,2,2,Rural,2005,338938.5659954
1823,2,1,Suburb,2019,236683.28938428895
1233,3,2,Urban,1974,114972.42687553872
2819,3,3,Suburb,2013,272653.3423659591
2689,4,1,Suburb,2014,295541.7852949496
